tag,activation,n_layers,width,t,l2_u,l2_v,l2_p,final_loss,training_time_seconds,model_path,plot_path
act-GELU_L3_W512,GELU,3,512,2.0,0.14683185517787933,0.14128932356834412,0.6489924788475037,0.0004884075024165213,164.40388611499975,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-GELU_L3_W512.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-GELU_L3_W512.png
act-GELU_L3_W512,GELU,3,512,10.0,0.6496802568435669,0.6479771137237549,0.8818163871765137,0.0004884075024165213,164.40388611499975,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-GELU_L3_W512.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-GELU_L3_W512.png
act-GELU_L3_W512,GELU,3,512,32.0,1.0055418014526367,1.0075160264968872,1.2855528593063354,0.0004884075024165213,164.40388611499975,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-GELU_L3_W512.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-GELU_L3_W512.png
act-GELU_L3_W512,GELU,3,512,50.0,1.0028018951416016,1.0066466331481934,1.6192643642425537,0.0004884075024165213,164.40388611499975,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-GELU_L3_W512.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-GELU_L3_W512.png
act-GELU_L3_W512,GELU,3,512,100.0,1.044187307357788,1.12723708152771,3.5734670162200928,0.0004884075024165213,164.40388611499975,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-GELU_L3_W512.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-GELU_L3_W512.png
act-GELU_L4_W64,GELU,4,64,2.0,0.18671688437461853,0.17956951260566711,0.6551366448402405,0.00037957506719976664,126.39529994000031,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-GELU_L4_W64.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-GELU_L4_W64.png
act-GELU_L4_W64,GELU,4,64,10.0,0.7193412780761719,0.7203826308250427,0.9342151284217834,0.00037957506719976664,126.39529994000031,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-GELU_L4_W64.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-GELU_L4_W64.png
act-GELU_L4_W64,GELU,4,64,32.0,0.9974021315574646,1.0021308660507202,1.6766293048858643,0.00037957506719976664,126.39529994000031,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-GELU_L4_W64.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-GELU_L4_W64.png
act-GELU_L4_W64,GELU,4,64,50.0,0.9992485046386719,1.0069435834884644,1.0958518981933594,0.00037957506719976664,126.39529994000031,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-GELU_L4_W64.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-GELU_L4_W64.png
act-GELU_L4_W64,GELU,4,64,100.0,1.0046995878219604,1.0843193531036377,25.238189697265625,0.00037957506719976664,126.39529994000031,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-GELU_L4_W64.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-GELU_L4_W64.png
act-GELU_L4_W128,GELU,4,128,2.0,0.1186055988073349,0.11734869331121445,0.3326103389263153,0.0002645691274665296,135.1705996429996,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-GELU_L4_W128.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-GELU_L4_W128.png
